Wall time,Step,Value
1680234838.1778188,30000,-987.4524536132812
1680234980.7746282,35000,-1005.0404052734375
1680235112.745086,40000,-713.4586791992188
1680235253.1622632,45000,-612.4573974609375
1680235390.927346,50000,-551.2501220703125
1680235502.914528,55000,-640.8870849609375
1680235582.9957151,60000,-625.65966796875
1680235655.076205,65000,-502.65325927734375
1680235722.9894478,70000,-516.0524291992188
1680235805.836577,75000,-530.1530151367188
1680235869.488798,80000,-519.8399047851562
